Company,Professional_Fees_Billed,Direct_Consultant_Salaries,Contribution_Margin,Corporate_Overheads,Net_Income,ROI_Metric
Rajoo Engineers,197.35,20.13,177.22,150.55,19.71,24.07
Dolphin Offshore,6.37,0.22,6.15,9.66,5.57,-0.19
GE T&D India,3167.91,373.81,2794.1,2475.13,181.05,22.15
Ram Ratna Wires,2983.25,55.52,2927.73,2808.75,54.62,18.16
Kalpataru Proj.,19626.43,1725.3,17901.13,16086.760000000002,515.9,15.99
NMS Global,24.83,7.98,16.849999999999998,15.159999999999998,0.33,6.83
Bemco Hydraulics,84.5,13.19,71.31,57.980000000000004,7.94,19.3
Ansal Buildwell,41.37,8.82,32.55,13.889999999999997,14.51,13.06
B N Rathi Sec.,57.47,7.81,49.66,34.01,10.53,28.54
Rishi Techtex,111.74,10.27,101.47,94.09,1.35,8.64
Safari Inds.,1550.42,97.6,1452.8200000000002,1175.2900000000002,175.81,31.22
J J Finance Corp,0.76,0.17,0.59,0.10999999999999999,0.37,5.19
Cosmo Ferrites,97.76,24.7,73.06,65.87,-1.98,5.12
Cropster Agro,60.71,0.06,60.65,49.629999999999995,11.08,37.57
Futuristic Sec.,0.06,0.02,0.039999999999999994,0.18,-0.07,-6.38
Sanco Trans,97.93,11.23,86.7,83.21000000000001,1.15,2.59
Ador Multi Prod.,6.73,1.48,5.25,8.98,-4.02,-37.64
Medi Caps,27.34,7.07,20.27,20.31,-2.24,-1.04
OTCO Intl,2.01,0.19,1.8199999999999998,1.6799999999999997,0.06,1.0
Morganite Crucib,167.93,17.59,150.34,111.85,23.49,28.17
B & A Packaging,128.79,14.19,114.6,98.44999999999999,11.45,20.38
Aban Offshore,399.67,90.42,309.25,463.68,-1317.84,
Kokuyo Camlin,815.89,94.48,721.41,644.8299999999999,43.83,18.3
SRM Energy Ltd,0.0,0.29,-0.29,0.51,-0.79,-135.09
NB Footwear,0.0,0.04,-0.04,0.15,-0.19,
Venky's (India),3738.15,273.87,3464.28,3340.92,79.07,8.42
Superhouse Ltd,665.31,72.22,593.0899999999999,556.1399999999999,13.82,4.66
TCPL Packaging,1485.92,134.55,1351.3700000000001,1102.4,106.54,20.13
Shri Gang Indus,265.73,8.26,257.47,227.56000000000003,14.79,27.65
Purity Flex Pack,107.71,11.2,96.50999999999999,89.77,0.93,6.24
Balmer Lawrie,2339.23,243.41,2095.82,1791.15,257.4,15.63
Kovai Medical,1219.55,219.47,1000.0799999999999,658.3999999999999,179.73,22.27
Eldeco Housing,112.7,8.36,104.34,64.91,33.86,12.02
DCM Shriram,10922.48,985.01,9937.47,8946.789999999999,447.1,8.99
DCM Shriram Inds,2082.9,194.11,1888.79,1664.32,115.39,16.21
Mawana Sugars,1355.09,80.73,1274.36,1183.8899999999999,37.65,6.84
Mini Diamonds(I),245.58,0.63,244.95000000000002,242.46,1.51,10.25
Maha Rashtra Apx,8.71,2.35,6.360000000000001,1.5500000000000016,346.41,120.31
Nilkamal Ltd,3196.33,249.93,2946.4,2652.82,122.43,11.24
Nahar Poly,599.93,24.86,575.0699999999999,553.7499999999999,5.68,-0.04
3M India,3926.76,358.57,3568.19,2862.32,536.27,33.08
JM Financial,4760.72,795.44,3965.28,1221.94,30.75,10.14
ADC India,178.74,4.21,174.53,148.47,20.69,45.23
T N Telecom.,0.0,1.55,-1.55,2.1500000000000004,-14.62,
Rel. Indl. Infra,58.08,16.75,41.33,47.489999999999995,13.32,4.2
Sharp India,0.0,5.55,-5.55,3.5300000000000002,-17.85,-1535.0
Ind Bank Housing,0.0,0.26,-0.26,0.73,-0.69,
Lotus Chocolate,198.1,8.55,189.54999999999998,186.77999999999997,1.73,
Pacific Inds,190.0,10.81,179.19,168.53,11.88,3.46
Chennai Meena,38.2,9.8,28.400000000000002,26.69,-0.43,9.34
Prec. Wires (I),3321.0,40.61,3280.39,3127.06,72.85,
Krypton Industri,42.74,6.88,35.86,31.29,1.14,7.08
Martin Burn,1.99,1.45,0.54,4.51,1.18,3.93
Indian Toners,156.75,18.24,138.51,105.03999999999999,26.14,17.22
Kunststoff Inds.,13.37,1.72,11.649999999999999,10.27,1.09,17.43
S C I,5046.04,502.71,4543.33,3119.68,612.15,7.95
Sika Interplant,106.03,7.66,98.37,78.47,19.36,25.8
ITI,1263.63,231.8,1031.8300000000002,1350.88,-569.06,-8.44
Dredging Corpn.,945.5,98.25,847.25,642.94,35.68,3.94
Poddar Housing,11.73,11.34,0.39000000000000057,12.07,-65.67,-3.95
Natl.Fertilizer,23560.31,635.29,22925.02,22306.96,150.05,6.69
Yash Innoventure,2.75,0.75,2.0,1.87,0.76,2.1
Kkalpana Plastic,0.0,0.26,-0.26,0.21999999999999997,-0.04,-0.64
Waterbase,339.25,26.58,312.67,316.46000000000004,-10.44,-4.86
Flex Foods,121.28,25.96,95.32,97.50999999999999,-25.93,-5.33
Golkunda Diamond,230.47,10.08,220.39,204.14,9.62,17.77
Apcotex Industri,1124.55,65.32,1059.23,945.29,53.88,13.47
Fortis Malar,59.01,15.16,43.849999999999994,45.059999999999995,45.32,-3.29
Eimco Elecon(I),227.5,18.26,209.24,169.08,40.41,13.53
Ashiana Housing,943.8,63.7,880.0999999999999,783.5199999999999,83.4,11.8
Svam Software,1.43,0.07,1.3599999999999999,2.53,0.11,-0.57
Ecoboard Inds.,29.76,2.54,27.220000000000002,30.360000000000003,-7.27,-11.1
Dhunseri Vent.,403.48,53.13,350.35,296.63,152.1,6.59
Mahindra EPC,262.45,31.52,230.92999999999998,225.21999999999997,1.67,3.12
Shukra Jewellery,4.78,0.03,4.75,4.62,0.06,0.25
Mazda,225.43,26.66,198.77,159.0,31.52,21.23
Sover. Diamonds,28.42,2.09,26.330000000000002,22.830000000000002,1.38,10.6
Menon Bearings,206.25,35.23,171.02,128.84,25.69,22.95
Simplex Infra,1388.47,109.58,1278.89,1251.1000000000001,-72.27,-0.35
Innovative Tech,142.37,11.66,130.71,117.13000000000001,1.79,10.38
Super Tannery,228.8,11.63,217.17000000000002,199.53000000000003,5.73,7.76
Axtel Industries,223.33,38.22,185.11,141.06,32.13,42.53
Pacheli Indust.,1.07,0.01,1.06,1.05,0.01,0.0
V R Woodart,0.0,0.03,-0.03,0.06,-0.09,-900.0
Poonawalla Fin,5417.98,448.59,4969.389999999999,431.4599999999991,1683.06,10.8
Kingfa Science,1487.72,29.38,1458.34,1273.1999999999998,122.52,30.07
Patidar Buildcon,0.23,0.16,0.07,0.6200000000000001,-0.1,-0.81
Rama Phosphates,603.17,32.08,571.0899999999999,591.5199999999999,-31.07,-6.12
Venlon Enterpris,8.03,0.0,8.03,8.2,-1.28,-3.09
Polyplex Corpn,6306.87,585.9,5720.97,5355.81,86.38,1.8
Kabra Extrusion,607.77,55.39,552.38,491.69,31.67,10.46
Pee Cee Cosma,133.64,10.6,123.03999999999999,107.67999999999999,10.44,34.66
Teesta Agro Ind.,163.18,9.68,153.5,146.33,3.61,4.32
Guj. Ambuja Exp,4926.93,134.13,4792.8,4350.24,345.92,16.54
R C F,16981.31,542.78,16438.530000000002,15926.370000000003,225.28,6.19
BCL Industries,2129.19,37.91,2091.28,1899.92,95.92,16.04
Sh. Hari Chem.,138.33,13.66,124.67000000000002,120.87000000000002,2.29,12.4
Bodal Chemicals,1394.62,102.76,1291.86,1197.1899999999998,6.47,3.13
Vimta Labs,312.89,98.49,214.39999999999998,130.76,38.81,16.82
Universal Starch,527.13,19.09,508.04,487.93,6.99,13.45
Camex,141.81,3.83,137.98,133.34,3.46,11.89
SVC Industries,0.41,0.31,0.09999999999999998,0.59,-2.19,-0.49
Raaj Medisafe,41.55,2.71,38.839999999999996,33.05,3.19,24.23
KMC Speciality,177.18,38.27,138.91,91.53,30.38,21.46
Sukhjit Starch,1375.35,62.41,1312.9399999999998,1184.9199999999998,49.96,12.56
Gayatri BioOrga.,0.0,0.09,-0.09,0.44000000000000006,-0.68,-44.73
Poddar Pigments,369.01,33.1,335.90999999999997,296.59,28.82,12.18
Vivid Global,34.41,2.4,32.01,31.04,0.18,3.64
Tirupati Starch,306.11,16.74,289.37,268.88,2.07,7.64
AksharChem (I),302.05,13.37,288.68,287.18,-18.68,-3.85
Bandaram Pharma,34.08,2.33,31.75,28.93,0.97,9.1
Parker Agrochem,5.46,0.69,4.77,3.55,1.07,25.53
Sikozy Realtors,0.0,0.03,-0.03,0.1,-0.14,-35.62
Basant Agro Tech,404.75,16.73,388.02,363.25,3.96,6.35
Span Divergent,12.66,2.3,10.36,8.98,0.78,65.9
Dynamic Industri,36.14,3.24,32.9,32.089999999999996,-0.3,-0.09
Jauss Polymers,0.0,0.0,0.0,0.46,-0.56,-6.46
Procal Electroni,0.0,0.0,0.0,0.05,-0.05,-1.28
Globus Power,0.04,0.32,-0.28,0.2899999999999999,6.75,-27.21
Cubex Tubings,222.52,1.76,220.76000000000002,212.41000000000003,3.99,8.65
Polymechplast Ma,59.04,5.71,53.33,51.51,0.79,5.5
Stellant Secu.,0.45,0.0,0.45,0.10000000000000003,0.36,25.17
Galaxy Bearings,127.12,6.73,120.39,99.49000000000001,18.84,27.63
SC Agrotech,0.68,0.3,0.38000000000000006,1.09,0.24,10.28
Ravi Leela Gran,31.47,3.83,27.64,24.47,-0.6,6.02
Uniroyal Marine,19.29,2.66,16.63,17.58,-2.6,-7.0
Manor Estates,0.0,0.54,-0.54,0.05999999999999994,-0.56,
Shervani Indl Sy,142.7,5.58,137.11999999999998,107.21999999999997,30.85,20.37
Shetron,239.88,24.44,215.44,192.16,6.53,15.31
Transgene Biotek,0.23,0.31,-0.07999999999999999,0.53,-0.66,-2.11
MPL Plastics,0.0,0.21,-0.21,1.08,9.07,
Multibase India,64.74,5.02,59.72,51.379999999999995,11.15,11.59
Andrew Yule & Co,309.86,216.22,93.64000000000001,183.05,-47.47,-12.3
Ashram Online,0.36,0.22,0.13999999999999999,0.58,-0.01,0.24
Royal Cush. Vin.,54.71,5.59,49.120000000000005,51.790000000000006,294.21,
Neogem India,0.0,0.0,0.0,0.8,-0.8,-3.38
Hitech Corp.,561.79,39.53,522.26,449.88,22.0,13.62
Bloom Dekor,5.73,1.12,4.61,5.470000000000001,-0.85,-17.82
Standard Surfact,130.99,2.52,128.47,125.45,1.48,5.43
Morgan Ventures,23.01,0.17,22.84,0.25,9.95,10.51
Mid East Port.,0.0,0.02,-0.02,0.06,0.06,
Mold-Tek Technol,160.74,100.23,60.510000000000005,18.540000000000006,27.85,31.29
Medinova Diagno.,10.17,1.9,8.27,5.49,2.0,228.0
Divyashakti,69.77,4.37,65.39999999999999,62.49999999999999,2.32,2.65
Orient Press,170.51,13.38,157.13,150.79999999999998,-1.06,3.84
Shreyas Interm.,0.0,0.01,-0.01,0.38,-1.58,-5.54
Duropack,31.67,3.52,28.150000000000002,25.220000000000002,2.16,16.87
SwarnsaritaJewel,769.69,5.83,763.86,749.9,4.79,6.49
Ganesh Housing,892.01,17.78,874.23,251.10000000000002,460.71,45.22
NMDC,21307.85,1625.54,19682.309999999998,12389.479999999998,5570.87,31.92
Patel Integrated,290.55,12.47,278.08,268.97999999999996,5.54,5.66
Alphageo (India),98.67,12.76,85.91,74.83,1.05,4.25
Hampton Sky,238.7,3.78,234.92,203.76999999999998,28.85,15.45
KKalpana Inds.,62.09,6.54,55.550000000000004,64.76,0.22,8.22
OK Play India,184.56,22.66,161.9,127.44,1.13,11.13
Kriti Industries,866.63,35.32,831.31,771.8299999999999,21.93,19.2
Welterman Intl.,0.0,0.12,-0.12,0.19,-0.13,
Perfectpac,101.12,9.95,91.17,84.02,3.98,15.53
Euro Leder Fash,33.28,4.51,28.770000000000003,28.42,0.31,5.96
Winsome Brew.,1.38,0.73,0.6499999999999999,1.76,0.57,1.61
Elegant Floricul,0.6,0.13,0.47,0.61,0.02,0.1
Phoenix Intl.,27.45,1.98,25.47,11.78,2.38,2.44
Bhudevi Infra,3.62,0.2,3.42,2.24,0.91,245.54
Pratik Panels,2.59,0.06,2.53,2.1199999999999997,0.47,11.26
Promact Impex,1.78,0.12,1.6600000000000001,0.15000000000000013,0.9,62.91
Dolphin Medical,0.68,0.08,0.6000000000000001,0.68,-0.1,-0.83
Systematix Corp.,137.09,43.71,93.38,29.519999999999996,53.35,48.35
Shahi Shipping,12.43,1.33,11.1,9.25,2.59,23.03
Alpine Housing,57.56,2.88,54.68,47.53,3.43,6.39
Sanghi Industrie,821.35,64.9,756.45,833.9000000000001,-448.79,-5.45
IIRM Holdings,177.83,103.82,74.01000000000002,29.630000000000017,22.64,
Square Four Pro.,0.0,0.04,-0.04,0.23,-0.16,
Choksi Laborator,36.7,14.55,22.150000000000002,11.920000000000002,1.11,8.87
Salguti Industri,86.6,3.03,83.57,79.46,-0.12,5.67
Midwest Gold,1.05,0.31,0.74,1.78,-2.3,-27.46
Techindia Nirman,0.0,0.13,-0.13,0.21999999999999997,-0.4,-0.43
TPL Plastech,312.91,8.97,303.94,267.89,19.85,19.3
Wim Plast,342.84,27.79,315.04999999999995,254.17999999999995,55.73,15.79
Photoquip India,16.17,1.16,15.010000000000002,15.530000000000001,-2.23,-4.38
Liberty Shoes,636.86,109.08,527.78,460.63,11.16,9.45
Lippi Systems,0.0,0.4,-0.4,0.6900000000000001,-0.86,-5.09
Blue Dart Expres,5267.83,908.79,4359.04,3506.04,301.01,19.22
Expo Gas Contain,75.7,10.36,65.34,59.61,0.76,8.75
Natl. Plastic,98.38,7.03,91.35,81.32,1.62,10.37
MFL India,52.24,0.23,52.010000000000005,52.21000000000001,-0.91,0.0
Ajwa Fun World,2.61,0.67,1.94,1.44,0.11,12.15
Texel Industries,94.89,6.23,88.66,86.41,-8.41,-5.85
Mirza Internatio,630.4,85.32,545.0799999999999,496.3399999999999,12.04,4.95
Thakkers Develp.,30.81,6.44,24.369999999999997,23.759999999999998,-0.95,-0.23
Bhartiya Intl.,777.52,62.15,715.37,647.6800000000001,0.19,5.47
DSJ Keep Learn,6.32,3.24,3.08,2.27,0.32,22.66
Ecoplast,113.44,11.14,102.3,89.32,9.17,32.16
Elegant Marbles,34.22,4.01,30.21,25.91,4.05,5.42
Adarsh Plant,18.65,0.86,17.79,17.029999999999998,0.49,11.7
HCP Plastene,294.56,17.51,277.05,260.38,0.3,5.8
Nicco Parks,79.33,21.52,57.81,30.6,24.76,40.06
NTC Industries,42.13,3.36,38.77,34.13,5.06,8.18
Garnet Construct,11.13,2.14,8.99,10.95,2.94,4.52
Goldiam Intl.,602.87,25.66,577.21,462.87,90.9,19.78
Bright Brothers,244.67,25.84,218.82999999999998,209.55999999999997,-4.77,1.87
PG Foils,317.16,26.9,290.26000000000005,310.81000000000006,17.02,6.3
Gratex Industrie,3.99,1.24,2.75,2.48,0.09,3.97
Press. Senstive,349.05,0.14,348.91,207.52000000000004,141.49,113.96
Valiant Commun.,46.33,6.91,39.42,29.14,6.21,19.11
Dr Agarwal's Eye,319.3,63.78,255.52,164.46,46.36,18.01
Mahasagar Travel,43.84,1.65,42.190000000000005,40.330000000000005,0.34,22.33
Greenply Industr,2179.92,279.08,1900.8400000000001,1715.3600000000001,69.95,11.14
Union Qual. Pla.,0.0,0.07,-0.07,0.12,-0.19,-111.76
SEAMEC Ltd,729.29,91.88,637.41,395.18999999999994,120.65,12.56
Raghunath Intl.,0.0,0.27,-0.27,0.31999999999999995,0.13,1.77
Rajeswari Infra.,0.0,0.03,-0.03,0.1,-0.21,
Confidence Petro,2698.47,30.86,2667.6099999999997,2308.2699999999995,105.27,13.5
Shelter Infra,1.64,0.34,1.2999999999999998,1.5499999999999998,-0.19,-0.79
Shakti Press,11.58,0.38,11.2,8.93,0.48,4.52
Ashirwad Steels,4.4,0.52,3.8800000000000003,0.5500000000000003,2.26,4.08
Banaras Beads,28.22,5.31,22.91,20.27,2.75,7.12
Bilcare,747.18,71.87,675.31,636.16,-58.53,1.22
ISF,2.02,0.19,1.83,2.48,-0.74,-3.78
Rishi Laser,140.11,23.04,117.07000000000002,105.23000000000002,8.73,17.12
Jainco Projects,0.22,0.06,0.16,0.11,0.0,0.0
Kumbhat Fin.,0.34,0.07,0.27,1.99,-1.79,-48.73
Intec Capital,3.74,3.72,0.020000000000000018,8.34,-5.65,-9.41
Rajasthan Gases,0.0,0.03,-0.03,0.09,-0.5,-0.58
Indo Credit Cap.,0.06,0.1,-0.04000000000000001,0.13999999999999999,-0.05,0.17
Market Creators,6.66,1.41,5.25,5.45,-0.03,5.66
Himalaya Food,47.19,3.08,44.11,32.92,4.9,3.62
Sonal Adhesives,100.65,0.39,100.26,97.38000000000001,1.85,25.27
21st Cent. Mgmt.,34.92,1.52,33.4,0.4799999999999969,32.23,73.0
Hariyana Ship,148.63,2.31,146.32,149.54,3.23,3.96
Arunis Abode,1.22,0.29,0.9299999999999999,0.32999999999999996,0.39,10.78
Tyroon Tea Co.,41.52,18.83,22.690000000000005,20.800000000000004,2.99,8.33
La Opala RG,365.13,68.95,296.18,160.17000000000002,127.72,19.2
Stylam Industrie,914.08,75.06,839.02,654.52,128.4,33.72
Last Mile Enter.,131.02,4.1,126.92000000000002,129.24,3.03,
Guj. Craft Inds,175.56,5.55,170.01,159.01,3.03,7.82
Ashapura Minech.,2653.81,124.66,2529.15,2282.9900000000002,281.7,13.87
Shree Pacetronix,22.04,4.12,17.919999999999998,12.119999999999997,3.36,34.1
Gujarat Alkalies,3806.63,265.04,3541.59,3510.1600000000003,-236.84,-3.83
India Cements,5112.24,381.55,4730.69,4631.669999999999,-226.7,-0.73
JK Tyre & Indust,15001.78,1431.83,13569.95,11492.35,805.94,19.16
Mangalore Chem.,3795.44,67.83,3727.61,3351.69,154.82,16.62
The Invest.Trust,287.73,108.98,178.75,127.42,19.97,6.6
Aadi Industries,0.0,0.08,-0.08,0.13,-0.09,-40.82
Titan Securities,7.0,0.13,6.87,5.84,10.07,1.66
Harmony Capital,0.0,0.0,0.0,0.1,-0.07,-6.43
Yashraj Contain.,1.97,2.33,-0.3600000000000001,2.99,-5.85,
CSL Finance,165.65,21.57,144.08,15.110000000000014,63.36,14.68
Sanghvi Movers,618.54,40.89,577.65,196.63,187.94,23.82
Selan Expl. Tech,165.6,15.92,149.68,111.03,32.74,12.28
Freshtrop Fruits,106.53,12.41,94.12,98.19,59.95,-4.76
ACE EduTremd Ltd,0.0,0.01,-0.01,0.04,-0.16,-1.13
Anupam Finserv,3.17,0.37,2.8,0.79,0.94,8.49
Raj Packaging,30.06,2.62,27.439999999999998,28.099999999999998,-1.42,-8.53
Natraj Proteins,193.73,1.19,192.54,201.89999999999998,-12.52,3.63
NPR Finance,9.47,3.07,6.4,5.390000000000001,1.09,1.91
NILE,837.62,0.91,836.71,790.48,31.6,19.48
Udaipur Cement,1163.59,43.73,1119.86,933.7399999999999,61.41,7.72
Amco India,103.59,3.94,99.65,98.42,0.83,4.69
Kreon Finnancial,16.17,2.78,13.390000000000002,10.810000000000002,0.62,4.71
Gyan Developers,0.56,0.02,0.54,0.41000000000000003,0.14,4.04
Kisan Mouldings,268.01,10.13,257.88,281.69,58.23,-13.37
Moongipa Capital,9.25,0.49,8.76,7.12,1.75,34.85
Mohit Paper Mill,185.63,8.27,177.35999999999999,165.0,6.45,12.44
Daulat Securitie,5.83,0.57,5.26,0.9900000000000002,3.49,25.21
Oscar Global,0.0,0.11,-0.11,0.19,-0.07,-2.17
Surat Trade,60.56,1.87,58.690000000000005,64.30000000000001,9.07,6.71
Fundviser Capit.,0.97,0.11,0.86,0.28,0.44,5.99
Kings Infra,90.41,1.04,89.36999999999999,74.94,7.77,17.65
Swojas Energy,0.21,0.03,0.18,0.3,0.04,1.7
Nutricircle,2.84,0.14,2.6999999999999997,3.96,-1.25,-125.89
KJMC Financial,4.63,1.18,3.45,1.23,0.86,1.83
Aryaman Fin.Serv,66.15,2.05,64.10000000000001,31.960000000000008,27.51,25.79
Bridge Securitie,0.8,0.02,0.78,0.09999999999999998,0.52,98.55
Kay Power &Paper,36.08,0.98,35.1,34.64,1.5,4.75
Inter State Oil,84.74,1.42,83.32,76.36999999999999,0.86,8.94
Global Cap.Mkt.,1.2,0.35,0.85,0.77,0.01,0.02
Sainik Finance,15.25,0.93,14.32,1.7100000000000009,2.0,9.43
Arigato Universe,1.71,0.04,1.67,1.8299999999999998,0.24,2.68
Quantum Digital,0.03,0.13,-0.1,0.9400000000000001,2.86,
S P Capital Fin.,2.54,0.31,2.23,0.6299999999999999,0.56,2.9
Paos Industries,0.0,0.05,-0.05,0.08,-0.3,-200.0
Piccadily Agro,779.43,33.42,746.01,595.92,109.76,29.59
Chamanlal Setia,1355.63,17.68,1337.95,1176.05,115.64,20.32
Hind.Tin Works,419.35,36.19,383.16,354.34000000000003,17.04,11.09
Mukesh Babu Fin.,16.79,0.81,15.979999999999999,6.389999999999999,5.87,3.62
Genus Power,1200.58,165.06,1035.52,900.54,75.17,9.74
Asian Energy,305.06,26.53,278.53,236.70999999999998,25.55,12.51
KBS India,1.74,0.89,0.85,2.12,0.07,0.51
Prabhhans Inds,52.5,0.53,51.97,49.769999999999996,1.36,24.15
Ugar Sugar Works,1151.21,94.52,1056.69,986.49,21.14,10.84
NRB Bearings,1094.03,170.62,923.41,749.5699999999999,241.51,14.59
Vamshi Rubber,77.42,10.85,66.57000000000001,63.31000000000001,0.61,8.24
Nila Infrastruct,184.65,4.28,180.37,169.08,11.25,12.47
DB Intl.Stock,47.26,5.88,41.379999999999995,25.819999999999993,8.64,22.24
Vinyoflex,45.65,1.88,43.769999999999996,38.589999999999996,3.68,16.26
Jindal Capital,2.91,0.35,2.56,1.4000000000000001,0.89,15.33
Epic Energy,3.08,0.5,2.58,2.09,0.36,5.03
Sumedha Fiscal,95.74,3.2,92.53999999999999,83.47999999999999,7.65,17.0
Kuwer Industries,58.91,1.29,57.62,53.08,0.11,5.89
Choksi Imaging,1.27,0.3,0.97,2.8200000000000003,-0.46,-6.34
Ashish Polyplast,15.94,0.56,15.379999999999999,14.77,0.84,15.95
Ador Fontech,210.13,25.91,184.22,156.68,23.74,24.37
Shiva Global,394.81,9.99,384.82,395.15,-24.88,6.94
Siddha Ventures,0.29,0.05,0.24,-0.53,0.79,1.91
Rungta Irrigatn.,148.77,10.16,138.61,131.64000000000001,5.65,9.51
Saboo Sodium,51.79,1.12,50.67,46.68,0.23,4.39
GSL Securities,0.84,0.18,0.6599999999999999,0.10999999999999988,0.47,9.89
Tinna Rubber,363.03,34.88,328.15,265.53,40.29,32.26
A.K.Capital Serv,518.54,97.14,421.4,94.88999999999999,92.52,9.46
Relaxo Footwear,2914.06,389.1,2524.96,2118.37,200.47,13.63
Manraj Hsg.Fin.,0.0,0.05,-0.05,0.14,-0.11,-0.86
KEN Fin.Serv.,0.58,0.14,0.43999999999999995,0.14999999999999997,0.08,3.12
Paramount Comm.,1070.6,27.02,1043.58,954.27,85.63,15.43
NCL Res. & Finl.,10.69,0.75,9.94,8.84,1.61,1.69
Explicit Finance,9.4,0.14,9.26,9.25,0.02,0.25
Ladderup Finance,11.78,6.07,5.709999999999999,3.119999999999999,-3.93,3.39
U. Y. Fincorp,121.86,1.23,120.63,111.16,64.92,29.48
Ekam Leasing,0.65,0.04,0.61,0.2,0.63,10.52
Swastika Investm,114.67,32.25,82.42,58.77,12.29,28.53
Prima Plastics,184.14,21.18,162.95999999999998,132.59999999999997,23.35,16.96
Jagsonpal Fin.,0.5,0.04,0.46,0.10000000000000003,0.36,45.57
Carnation Inds.,0.0,0.05,-0.05,0.29000000000000004,-0.49,
Sturdy Industrie,0.34,1.27,-0.9299999999999999,8.63,-9.18,-7.06
Sampre Nutrition,25.15,7.75,17.4,13.2,0.31,6.58
Vipul Organics,150.08,9.74,140.34,128.64000000000001,3.34,8.15
Eco Recyc.,28.01,3.25,24.76,8.32,18.22,37.23
Goyal Associates,3.75,1.47,2.2800000000000002,1.1900000000000002,0.61,22.25
Supreme Holdings,71.71,2.84,68.86999999999999,62.75999999999999,7.9,2.16
Prime Property,55.64,1.91,53.730000000000004,45.050000000000004,6.51,11.98
Gowra Leasing,2.77,0.44,2.33,1.09,2.21,17.58
Asit C Mehta Fin,42.4,16.08,26.32,29.37,-11.12,0.02
Encode Packaging,4.62,0.73,3.89,3.52,0.12,3.24
Super Bakers (I),0.0,0.07,-0.07,0.16999999999999998,0.35,10.86
Ovobel Foods,174.63,10.25,164.38,143.32,17.89,27.49
Challani Capital,0.83,0.21,0.62,0.47,0.51,
Coral Newsprints,0.86,0.55,0.30999999999999994,1.87,-0.62,
Sterling Tools,931.97,65.98,865.99,758.22,55.37,14.8
KLG Capital,0.72,0.08,0.64,0.68,-0.04,-0.52
Dynamic Portfol,1.06,0.23,0.8300000000000001,0.6200000000000001,0.01,1.34
Inland Printers,0.0,0.13,-0.13,0.27,-0.48,-13.45
Ceejay Finance,20.71,3.14,17.57,5.1899999999999995,6.57,12.65
Sh. Ganesh Elas.,23.57,0.32,23.25,21.18,1.63,38.62
Anna Infrastruct,1.68,0.25,1.43,0.71,0.6,7.97
Bhageria Indust.,494.97,21.24,473.73,430.04,19.62,5.25
Onesource Ideas,8.1,0.11,7.989999999999999,8.19,0.04,1.2
BNR Udyog,7.24,0.6,6.640000000000001,1.4700000000000006,4.31,63.55
KRBL,5384.69,148.85,5235.839999999999,4433.549999999999,595.86,15.85
SSPDL Ltd,19.5,2.19,17.31,25.22,-2.84,-1.96
Daikaffil Chem,0.0,1.63,-1.63,0.6200000000000001,-1.9,-11.57
Cil Securities,10.53,2.09,8.44,4.199999999999999,2.88,14.92
Cupid,171.09,16.41,154.68,104.58000000000001,39.85,22.36
Hipolin,19.73,1.72,18.01,19.19,-0.89,-5.95
Capital India,680.11,157.24,522.87,407.57,-6.43,5.93
N G Industries,16.88,2.13,14.75,12.79,5.03,17.76
Asia Pack,0.08,0.28,-0.2,0.14,0.37,1.88
S I Cap. & Fin.,1.73,0.85,0.88,1.07,-0.72,-2.89
R R Securities,0.0,0.0,0.0,0.06,0.1,2.13
Ramsons Projects,0.53,0.13,0.4,0.14,3.22,14.89
Stanpacks(India),27.38,4.73,22.65,21.59,0.27,4.37
Sunil Agro Foods,228.58,3.41,225.17000000000002,219.39000000000001,0.88,8.37
Diana Tea Co,73.05,48.8,24.25,21.53,0.24,3.27
Vikas Ecotech,246.6,3.38,243.22,226.89,6.61,4.51
I O C L,776351.85,11670.94,764680.91,689090.14,43161.15,21.24
Alfa Ica (I),68.49,2.37,66.11999999999999,62.17999999999999,1.68,10.64
Shri Keshav,126.45,3.72,122.73,83.81,9.13,11.25
India Home Loans,12.02,2.82,9.2,2.8999999999999995,-3.44,5.31
JPT Securities,0.42,0.15,0.27,1.01,-0.76,-17.36
Sarthak Global,4.07,0.4,3.6700000000000004,4.1000000000000005,0.02,4.94
Swarna Securitie,0.05,0.13,-0.08,0.21999999999999997,0.72,16.3
Arihant's Secur.,2.81,0.61,2.2,0.7300000000000002,1.04,4.82
Visagar Finan.,334.18,0.61,333.57,334.42,-1.21,-1.07
Libord Securitie,0.02,0.22,-0.2,0.09999999999999998,0.37,11.82
Eraaya Lifespace,297.2,0.19,297.01,296.88,0.34,7.0
Swadha Nature,0.05,0.01,0.04,0.11000000000000001,0.02,3.28
Dhanvantri Jeev.,20.47,4.26,16.21,15.370000000000001,0.17,2.77
Neelkanth Rock,0.0,0.1,-0.1,0.1,0.24,5.91
Vintage Secur.,0.0,0.04,-0.04,0.07999999999999999,0.0,0.17
Vijay Solvex,1829.23,23.01,1806.22,1801.89,2.35,1.46
Shri Krishna,25.45,1.46,23.99,14.589999999999998,4.45,7.33
United Credit,3.4,0.74,2.66,1.2200000000000002,1.64,7.36
Om Infra,1113.82,24.83,1088.99,999.6700000000001,47.27,14.17
Ishan Dyes & Ch.,76.67,7.33,69.34,66.11,0.12,2.32
